Symbol	HitsOnWSB	Company Name	industry	"Market Cap
"
SWAV	0	ShockWave Medical	Health Care Equipment & Supplies	"5.47B
"
SWBI	0	Smith & Wesson Brands	Leisure Products	"830.19M
"
SWCH	0	Switch	IT Services	"6.19B
"
SWET	0	Athlon Acquisition	Blank Check / SPAC	"336.72M
"
SWI	0	SolarWinds	Software	"2.17B
"
SWIM	0	Latham Group	Building Products & Equipment	"2.04B
"
SWIR	0	Sierra Wireless	Communications Equipment	"559.55M
"
SWK	0	Stanley Black & Decker	Machinery	"28.72B
"
SWKH	0	SWK Holdings	Diversified Financial Services	"243.76M
"
SWM	0	Schweitzer-Mauduit International	Paper & Forest Products	"940.92M
"
SWN	0	Southwestern Energy Company	"""Oil, Gas & Consumable Fuels"""	"5.13B
"
SWSS	0	Springwater Special Situations	Blank Check / SPAC	"193.55M
"
SWTX	0	Springworks Therapeutics	Biotechnology	"2.83B
"
SWX	0	Southwest Gas Holdings	Gas Utilities	"4.11B
"
SXC	0	SunCoke Energy	Metals & Mining	"574.92M
"
SXI	0	Standex International	Machinery	"1.21B
"
SXT	0	Sensient Technologies	Chemicals	"3.53B
"
SXTC	0	China SXT Pharmaceuticals	Personal Products	"6.37M
"
SY	0	So-Young International	Interactive Media & Services	"257.95M
"
SYBT	0	Stock Yards Bancorp	Banks	"1.58B
"
SYBX	0	Synlogic	Biotechnology	"157.54M
"
SYF	0	Synchrony Financial	Consumer Finance	"23.47B
"
SYK	0	Stryker	Health Care Equipment & Supplies	"93.78B
"
SYN	0	Synthetic Biologics	Biotechnology	"34.32M
"
SYNA	0	Synaptics	Semiconductors & Semiconductor Equipment	"8.42B
"
SYNH	0	Syneos Health	Life Sciences Tools & Services	"9.37B
"
SYNL	0	Synalloy	Metals & Mining	"174.20M
"
SYPR	0	Sypris Solutions	Auto Components	"48.29M
"
SYRS	0	Syros Pharmaceuticals	Biotechnology	"128.23M
"
SYTA	0	Siyata Mobile	Communications Equipment	"18.12M
"
SZZL	0	Sizzle Acquisition	Blank Check / SPAC	"187.28M
"
TAC	0	TransAlta	Independent Power and Renewable Elect...	"2.94B
"
TACA	0	Trepont Acquisition I	Blank Check / SPAC	"288.08M
"
TACO	0	Del Taco Restaurants	"""Hotels, Restaurants & Leisure"""	"455.16M
"
TACT	0	TransAct Technologies	"""Technology Hardware, Storage & Periph..."""	"94.91M
"
TAIT	0	Taitron Components	"""Electronic Equipment, Instruments & C..."""	"21.18M
"
TAK	0	Takeda Pharmaceutical Company	Pharmaceuticals	"45.61B
"
